OBJECTID,ID_No,Name,Name_Other,Components,Part_of,Rec_Type,Rec_Note,Country,State_Prov,Latitude,Longitude,Loc_Note,Dep_Type,Dep_Note,Dep_Form,Commods,HREE_Note,LREE_Note,REE_Ratio,REE,Status,Stat_Note,REE_Mins,Sig_Mins,Oth_Mins,Age_Mzn,Age_Ma,Host_Age,HAge_Ma,Host_Lith,Host_Unit,Assoc_Rock,Alteration,Company,Comments,Ref_List,Discov_Yr,Expl_Note,Mine_Meth,P_Status,PStat_Note,P_Years,P_refs,P_Note,RR_Ore_Mt,RR_TREO_Mt,RR_TREOgrd,RR_REE_grd,RR_Cutoff,RR_HM_Mt,RR_HM_pct,RR_min_Mt,RR_min_pct,RR_mon_Mt,RR_mon_pct,RR_oth_grd,RR_Yr_Est,RR_Refs,RR_RegCode,RR_Note,Region
3019,8399,Nya Kårarvet,,,,site,,Sweden,Dalarnas län,60.611,15.5698,,other igneous deposit,granitic rocks/pegmatites,,"FLD, MICA, SIL, REE",,,,,Showing,,,quartz,,,,,,,,,,,,EURARE (2017),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
3020,8400,"Nya Kårarvet Brott 1, 2 and 4",,,,site,,Sweden,Dalarnas län,60.6092,15.569,Estimated location for Nya Kårarvet Brott 2.,other igneous deposit,granitic rocks/pegmatites,,"FLD, MICA, SIL, REE",,,,,Showing,,"allanite, monazite",quartz,,,,,,,,,,,,EURARE (2017),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
3021,8401,Olserum V1–V4,,"Olserum V1, Olserum V2, Olserum V3, Olserum  V4",,district or area,,Sweden,Kalmar län,57.955,16.3556,,other igneous deposit,"hydrothermal vein, metasomatic replacement",,"Cu, Fe, REE, W",,,,,Showing(?), ,"monazite, xenotime","magnetite, chalcopyrite, hematite",,,,,,granite,,,,,,EURARE(2017),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
3022,8286,Östanmossa,Östanmossgruvan,,"Riddarhyttan district, Getbacks- och Rödbergsfälten mining field",site(?),historic Fe & Cu mining,Sweden,Västmanlands län,60.0792,15.9307,Estimated location.,other igneous deposit,Fe oxide deposit with REE skarn, ,"Fe, REE", , , , ,Occurrence(?), ,"allanite-(Ce), cerite-(Ce), dollaseite-(Ce), parisite-(Ce), bastnäsite, fluorbritholite-(Ce)","magnetite, scheelite, chalcopyrite, bismuthinite","tremolite-actinolite, talc, diopside, phlogopite, norbergite, calcite",,,Paleoproterozoic,,"dolomitic carbonate rock, calc-silicate rock",,"metavolcanic rock, garnet and hematite skarn",,,,Andersson (2004); Finland Geological Survey (2012); Gieré and Sorensen (2004); Hallberg and others (2012); Holtstam (2004); Jonsson and others (2014),,,,No production(?),,,,,,,,,,,,,,,,,,,,,Europe
3023,1486,Pacolet River,,,,district or area,,United States,South Carolina,34.9435,-81.7818,Estimated location on Pacolet River near mouth of Lawson Fork Creek.,alluvial placer,,,"Ti, Zr, GAR, REE",,,,,Occurrence,,monazite,"ilmenite, rutile, zircon, garnet",,,,,,,,,,,,Long and others (2010); Overstreet and others (1968),,,,No production(?),,,,,,,,,,,,,,,,,,,,,North America
3024,7123,Pankridih,,Panrkidih,Singhbhum,site,,India,West Bengal,23.351,86.299,Estimated location.,iron oxide-apatite,"Kiruna, hydrothermal",,"P, Fe, REE",,,,,Showing,,monazite,"apatite, magnetite, ilmenite, uraninite, zircon","quartz, pyrite",,,,,,,,,,In Jhalda shear zone.,Sinha (1999); Vapnik and others (2007),,,,No production,,,,,,,,,,,,,,,,,,,,,South and Central Asia
3025,8402,Persgruvan, ,,,site,,Sweden,Västmanlands län,59.8457,15.5618,,other igneous deposit,"skarn, carbonate replacement, contact metamorphism",,"Fe, REE, Co, Cu, Au, Ag",,,,,Showing,,,magnetite,,,,,,skarn,,,,,,EURARE (2017); GEUS and D'Appolonia (2017); ProMine (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
3026,3382,Phangnga,Phang Nga,Sommanao,,district or area,"Sn field, Province",Thailand,Phangnga,8.4123,98.5159,Estimated location near town of Phangnga.,alluvial placer; shoreline placer,,,"Sn, Ti, Zr, REE, GAR",,,,,Deposit,,"monazite, xenotime","cassiterite, ilmenite, zircon, rutile, garnet",,,,,,,,,,,,Nakapadungrat and Maneenai (1993); Pungrassami and Sanguansai (1991),,,,Byproduct producer,,,,,,,,,,,,,,1) 0.000545 reserve; 2) 0.029 inferred,,,,Pungrassami and Sanguansai (1991),Not compliant,1) alluvial reserve includes 73.5 t xenotime; 2) offshore/shoreline resource,East Asia
3027,4311,Pilivili,,,Moma,site(?),,Mozambique,Nampula,-16.6163,39.4459,Estimated location.,shoreline placer,,,"Ti, Zr, REE",,,,,Deposit,,monazite,,,,,,,,,,,,,Kenmare Resources plc (2013); Weng and others (2015),,,,No production(?),,,,,227 inferred,,,,,,,,,,,,,,,,Africa
3028,1491,Pilot Peak,,,,district or area,,United States,California,34.5334,-115.0713,Estimated location west-northwest of Lake Havasu.,metamorphic(?),,,REE,,,,,Showing,,,,,,,Precambrian,,allanite gneiss,,syenite/carbonatite dikes and sills,,,"Allanite is present in the gneiss in this area, but REE may also be present in intrusive syenite/carbonatite and alluvial cover.",Rarus Minerals Inc. (2011); SNL Metals & Mining (2015),,,,No production,,,,,,,,,,,,,,,,,,,,,North America
3029,8403,Plåtängsgruvan, ,,,site,,Sweden,Västmanlands län,60.0425,15.822,,other igneous deposit,"skarn, carbonate replacement, contact metamorphism",,"Fe, REE",,,,,Showing,,allanite,magnetite,,,,,,skarn,,,,,,EURARE (2017),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
3030,4804,Platería Norte,"Platería Corrida Norte, Platería North",,,site,,Argentina,Salta,-23.5391,-66.2352,Estimated location.,carbonatite,,,"REE, Th",,,,,Deposit,very small deposit,,,,,,,,,,,,,,López (2017); Zappettini (1999),,,,No production,,,,,,0.000049 identified,0.09,,,,,,,,,,,López (2017),Not compliant(?),Resource,South America
3031,4805,Platería Sur,"Platería Corrida Sur, Platería South",,,site,,Argentina,Salta,-23.5546,-66.2309,Estimated location.,carbonatite,,,"REE, Th",,,,,Deposit,very small deposit,,,,,,,,,,,,,,López (2017); Zappettini (1999),,,,No production,,,,,,0.000025 identified,0.03,,,,,,,,,,,López (2017),Not compliant(?),Resource,South America
3032,8441,Plavna,,,,district or area,,Serbia,Bor,44.3,22.13,,"sedimentary, shoreline placer(?)",sandstone-hosted,,"REE, Th, U",,,,,Occurrence,,monazite,,,,,,,,,,,,,EURARE (2017); Sadeghi and others (2014),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
3033,8089,Plouguerneau, ,"Créac'h an Avel, Kervenni, other ", ,district or area,small historic mine,France,Bretagne,48.6265,-4.5112, ,shoreline placer, , ,REE, , , , ,Occurrence(?), ,monazite,,,,,,,sand,,,,,,EURARE (2017); GEUS and D'Appolonia (2017); ProMine (2013),,,,No production(?),,,,,,,,,,,,,,,,,,,,,Europe
3034,6609,Port Clinton,Cape Clinton(?),,,district or area,,Australia,Queensland,-22.5333,150.7833,Estimated location.,shoreline placer,,,REE,,,,,Deposit,,monazite(?),"ilmenite, zircon, rutile",,,,,,dune sand,,,,,Within Shoalwater Military Training Area.,Gardiner (1975); Hedrick (1993),,,,No production,,,,,120,,,,,,3,,,,,,,Hedrick (1993),Not compliant,,Oceania
3035,8404,Pottäng, ,,,site,,Sweden,Västernorrlands län,62.4592,17.44,,carbonatite,,,"Ba, REE",,,,,Showing,,,barite,,,,,,carbonatite,,,,,,EURARE (2017),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
3036,8405,Prästrun, ,,,site,,Sweden,Jämtlands län,63.7705,13.8628,,alkaline igneous,,,"Nb, Ta, U, REE",,,,,Showing,,,,,,,,,"gneiss, syenite(?)",,,,,,EURARE (2017),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
3037,4312,Quinga North,,,Quinga,district or area,,Mozambique,Nampula,-15.7627,40.3124,Estimated location.,shoreline placer,,,"Ti, Zr, REE",,,,,Deposit,,monazite,"ilmenite, zircon, rutile",,,,,,,,,,,,Kenmare Resources plc (2013); Weng and others (2015),,,,No production(?),,,,,71 inferred,,,,,,,,,,,,,,,,Africa
3038,4313,Quinga South,,,Quinga,district or area,,Mozambique,Nampula,-15.8661,40.1833,Estimated location.,shoreline placer,,,"Ti, Zr, REE",,,,,Deposit,,monazite,"ilmenite, zircon, rutile",,,,,,,,,,,,Kenmare Resources plc (2013); Weng and others (2015),,,,No production(?),,,,,71 inferred,,,,,,,,,,,,,,,,Africa
3039,8448,Rambla de las Granatillas,Ramblas de las Granatillas,,,intrusion or complex,,Spain,Andalucía,36.9555,-2.1692,,alluvial placer,,,"GAR, REE",,,,,Occurrence,,"monazite, xenotime",garnet,,Quaternary,,Quaternary,,alluvial sediment,,,,,Erosion of the central cone of the Neogene El Hoyazo dacitic dome complex has formed a Quaternary alluvial fan containing the mineralization; placer is about 1 km2 in area and up to 40 m thick; small scale garnet exploitation has occurred.,EURARE (2014f); EURARE (2017); GEUS and D'Appolonia (2017); Sadeghi and others (2014),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
3040,1497,Ray Mountains,Ray River Basin,"Ray River, Kilolitna River, No Name Creek",,district or area,,United States,Alaska,66.0288,-150.1948,,alluvial placer,,,"Sn, W, Zr, REE",,,,,Showing,,,"ilmenite, cassiterite, zircon, wolframite, scheelite",,,,,,alluvium,,,,Ucore Rare Metals Inc.,,Barker (1983); Barker (1991b); Cole (2011); SNL Metals & Mining (2015); U.S. Geological Survey (2013),1969,,,No production,,,,,,,,,,,,,,,,,,,,,North America
3041,8223,Rejdová,,,,site(?),,Slovakia,Kosicky kraj,48.7909,20.2834,,unclassified,,,REE,,,,,Showing,,,,,,,Late Paleozoic,,"volcano-sedimentary rock, pyroclastic rock",,,,"Ultra Resources Corp., Xyquest Mining Corp",,EURARE (2017); SNL Metals & Mining (2015); Ultra Resources Corp. (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
3042,8290,Reuna, ,"Reuna 1, Reuna 2", ,site,historic mine(?),Sweden,Norrbottens län,66.1318,19.3435,Estimated location for Reuna 1.,other igneous deposit,abyssal pegmatites, ,"FLD, QTZ, REE", , , , ,Occurrence, ,"allanite, fergusonite","feldspar, quartz",,Proterozoic,,Proterozoic,,pegmatite,,,,,,EURARE (2017); ProMine (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
3043,8291,Reunavare,Reuna 3, , ,site,historic mine,Sweden,Norrbottens län,66.1362,19.3885, ,other igneous deposit,abyssal pegmatites, ,"FLD, QTZ, REE", , , , ,Occurrence, ,"thalénite-(Y), yttrialite-(Y), gadolinite-(Y), fergusonite-(Y)","feldspar, quartz",,,,,,,,,,,,EURARE (2017); ProMine (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
3044,8292,Rista, , , ,site, ,Sweden,Dalarnas län,60.5352,15.038,Estimated location for Rista 2.,other igneous deposit,pegmatites, ,"FLD, QTZ, REE", , , , ,Occurrence, ,"gadolinite-(Y)(?), allanite-(Ce)(?)","feldspar, quartz",,,,,,,,,,,,EURARE (2017); GEUS and D'Appolonia (2017); ProMine (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
3045,1501,Rock Creek-Camp Creek area,,,,district or area,,United States,Idaho,43.3665,-114.4009,,alluvial placer,,,REE,,,,,Occurrence,,titanite,,,,,,,,,,,,,Long and others (2010); Robertson and Storch (1955); Savage (1961); Staatz and others (1980); U.S. Geological Survey (2013),,,,No production(?),,,,,,,,,,,,,,,,,,,,,North America
3047,1503,Ruby Meadows,"Ruby Creek, North Star Placer",,,district or area,,United States,Idaho,45.2427,-115.8846,"7 claims near Burgdorf, in Valley County.",alluvial placer,,,"Au, REE, Hg",Y-rich,,,,Deposit,,,"native gold, magnetite, garnet, zircon, ilmenite, corundum",,,,Quaternary(?),,alluvium,,,,Merlin Mining NL (1987),,Capps (1940); Industrial Minerals (1987a); U.S. Geological Survey (2013),,,,No production,Past gold producer.,,,,,,,,,,,,,,,,,Industrial Minerals (1987a),,Preliminary estimates indicate about 100 Mm3 with as much as 0.16% Y and 0.85 g/t Ta.,North America
3049,1508,Saluda River,,,,district or area,,United States,South Carolina,34.4598,-82.3023,Estimated location on Saluda River near mouth of Broud Mouth Creek.,alluvial placer,,,"Ti, Fe, Au, REE",,,,,Occurrence,,monazite,ilmenite,,,,,,,,,,,Overstreet and others (1968) report 0.6 lbs of monazite per cubic yard of alluvium.,Long and others (2010); Overstreet and others (1968),,,,No production(?),,,,,,,,,,,,,,,,,,,,,North America
3050,8406,Sankt Göransgruvan,,,,site,,Sweden,Västmanlands län,59.8465,15.588,,other igneous deposit,"skarn, carbonate replacement, contact metamorphism",,"Cu, Fe, REE",,,,,Showing,,allanite,"bornite, chalcopyrite",,,,,,skarn,,,,,,EURARE (2017),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
3051,4714,Santana do Manhuaçu,,,,district or area(?),,Brazil,Minas Gerais,-20.1101,-41.918,Estimated location in the vicinity of Santana do Manuaçu village.,shoreline placer(?),,,"Au, Ti, REE, Th",,,,,Deposit,small deposit,,"gold, ilmenite, zircon",,,,,,dune sand,,,,,,Brasil Departamento Nacional de Produção Mineral (2001); Integrated Nuclear Fuel Cycle Information Systems (2013a); Villas-Boas (2011),,,,No production,,,,,,0.001958 measured,,,,,,,,0.003264 measured,,,1999,Brasil Departamento Nacional de Produção Mineral (2001),Not compliant,Monazite contains 60.0% TREO.,South America
3052,4719,São João de Barra,"São João da Barra, Barra São João, Barra de São João","includes Buena Norte, Buena Sul", ,district or area, ,Brazil,Rio de Janeiro,-21.8654,-41.0324, ,shoreline placer, , ,"Ti, Zr, REE", , , , ,Deposit, ,monazite,"ilmenite, zircon, rutile",quartz,Upper Tertiary (Neogene?); Quaternary,,,,dune and beach sand,Grupo Barreiras and younger units,,,Nuclebras de Monazita e Associados Ltda. (1989),Deposit contains about 0.83% monazite.,Anstett (1986); Azevedo Branco (1984); Brasil Departamento Nacional de Produção Mineral (2001); Hedrick and Templeton (1991); Jackson and Christiansen (1993); Leonardos (1974); Overstreet (1967); Roskill Information Services (1988),,,,Byproduct producer,Producer byproduct of monazite.,,,,0.003018 measured,,,,,,,,,,,,1999,Brasil Departamento Nacional de Produção Mineral (2001),Not compliant,Monazite contains 59.99% TREO.,South America
3053,4722,Sao Sebastio da Bella Vista,Sao Sebastio da Bela Vista,,Rio Sapucaí,district or area,,Brazil,Minas Gerais,-22.1653,-45.7547,Estimated location in the vicinity of Sao Sebastio da Bella Vista village.,alluvial placer,,,"Ti, Au, Zr, REE",,,,,Deposit,,,"gold, ilmenite, zircon",,,,,,,,,,,,Brasil Departamento Nacional de Produção Mineral (2001); Jackson and Christiansen (1993); Lapido-Loureiro (2013),,,,No production,,,,,,0.0003639 measured,,,,,,,,0.000613 measured,,,2009,Brasil Departamento Nacional de Produção Mineral (2010),Not compliant,Monazite contains 57.62% TREO.,South America
3054,4315,Shawa,,,,intrusion or complex,,Zimbabwe,Manicaland,-19.2,31.71666667,,carbonatite with residual enrichment,,,"VRM, P, REE",,,,,Showing,,,"vermiculite, apatite",,,,Triassic,209 ± 16 Ma,carbonatite,,"serpentinite, dunite",,,,Jaireth and others (2014); van Straaten (2002); Woolley and Kjarsgaard (2008),,,,No production,Active mining of non-REE commodity.,,,,,,,,,,,,,,,,,,,,Africa
3055,1515,Simon,,,,site,,United States,California,35.4643,-115.5184,Estimated location about 1800 m SE of Mountain Pass Mine.,carbonatite,,,REE,,,,,Showing,,,,,,,,,,,,,Pele Mountain Resources Inc.,,Pele Mountain Resources Inc. (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,North America
3056,8372,Slovinky,,,,site,,Slovakia,Kosicky kraj,48.8369,20.7832,,other igneous deposit,"polymetallic vein, hydrothermal vein or metasomatic replacement",,REE,,,,,Showing,,,,,,,,,metamorphic rock,,,,,,EURARE (2017); GEUS and D'Appolonia (2017),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
3057,8297,Södra Hackspikgruvan, , ,"Riddarhyttan district, Smörbergfältet mining field",site, ,Sweden,Västmanlands län,60.0724,15.9392,Estimated location.,other igneous deposit,Fe oxide deposit with REE skarn, ,"Fe, Mo, REE", , , , ,Occurrence(?), ,"allanite-(Ce), cerite-(Ce), törnebohmite-(Ce), västmanlandite-(Ce), bastnäsite, dissakisite‐(Ce), dollaseite-(Ce), fluorbritholite-(Ce)","fluorite, magnetite, molybdenite","tremolite, talc",,,,,dolomitic carbonate rock,,,,,,EURARE (2017); Hallberg and others (2012); Holtstam (2004); Jonsson and others (2014),,,,No production(?),,,,,,,,,,,,,,,,,,,,,Europe
3058,8767,Sofular, , , ,site, ,Turkey,Sivas,38.94,37.5511, ,carbonatite, , ,"F, REE", , , , ,Deposit,very small deposit,britholite,"fluorite, apatite","phlogopite, hastingsite, albite",Upper Cretaceous,,Upper Cretaceous,,"calcite carbonatite, syenitic fenite",Sofular carbonatite complex,alkali syenite,,,,EURARE (2014h); EURARE (2017); Özgenç (1999),,,,No production,,,,,,,57.73,,,,,0.001 britholite,,,,,,Özgenç (1999),Not compliant,,Middle East
3059,8377,Sopron Hills,,,,site,,Hungary,Gyór-Moson-Sopron,47.6614,16.5392,,other igneous deposit,polymetallic vein; metasomatic replacement or hydrothermal shear/vein,vein,REE,,,,,Occurrence,,"monazite, florencite, xenotime",,,,,,,,,,,,,EURARE (2017); GEUS and D'Appolonia (2017),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
3060,8368,South East-Drysdale,,,Motzfeldt,site,,Greenland,Kommune Kujalleq,61.1386,-44.822,,alkaline igneous,granitic rocks and pegmatites,,"Nb, Ta, REE, Zr",,,,,Showing,,"bastnäsite, hydropyrochlore, columbite",columbite-(Mg),,,,,,syenite,,,,,,EURARE (2017); GEUS and D'Appolonia (2017),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
3061,1519,South Platte District,,,,district or area,pegmatite district,United States,Colorado,39.3956,-105.215,,other igneous deposit,pegmatite,,"QTZ, FLD,  F, GEM, REE, Nb, Th, Ta, Mn",,,,,Occurrence,,"gadolinite, xenotime, fluorite, bastnäsite, synchysite, yttrotantalite-(Y)","quartz, feldspar, topaz, pyrolusite",,,,Proterozoic,1010 Ma,quartz monzonite,Pikes Peak batholith,,,,,Adams and Sharp (1972); Haynes (1965); Levasseur (1997); Möller (1989a); U.S. Geological Survey (2013); Zagorsky and others (2003),,,,No production,,,,,,,,,,,,,,,,,,,,,North America
3062,8407,Stålklockan 2,,,,site,,Sweden,Västmanlands län,59.8543,15.5853,,other igneous deposit,"skarn, carbonate replacement, contact metamorphism",,"Au, Fe, Mo, REE",,,,,Showing, ,"fluorbritholite-(Ce), dollaseite-(Ce)",magnetite,,,,,,,,,,,,EURARE (2017); Jonsson and others (2014),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
3064,8408,Stora Högforsgruvan,,,,site,,Sweden,Västmanlands län,59.865,15.6117,,sedimentary,banded iron formation,,"Fe, REE",,,,,Showing,,"cerite-(Ce), allanite-(Ce), västmanlandite-(Ce)","hematite, magnetite",,,,,,,,,,,,EURARE (2017); GEUS and D'Appolonia (2017),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
3065,8409,Stora Långgruvan,,,,site,,Sweden,Västmanlands län,59.886,15.6819,,other igneous deposit,"skarn, carbonate replacement, contact metamorphism",,"Fe, REE",,,,,Showing,,allanite,,,,,,,,,,,,,EURARE (2017); GEUS and D'Appolonia (2017),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
3066,8369,Storeelv East-Voskop,,,Motzfeldt,site,,Greenland,Kommune Kujalleq,61.2245,-45.0287,,alkaline igneous,granitic rocks and pegmatites,,"Nb, Ta, REE, Zr",,,,,Showing,,"bastnäsite, hydropyrochlore, columbite",columbite-(Mg),,,,,,syenite,,,,,,EURARE (2017); GEUS and D'Appolonia (2017),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
3067,8410,Storö,,,,site,,Sweden,Norrbottens län,65.6971,23.0959,,alkaline igneous,kimberlite=lamprophyre,,REE,,,,,Showing,,,,,,,,,,,,,,,EURARE (2017),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
3068,8411,Sveafallen,,"Sveafallen 1, Sveafallen 2",,district or area(?),,Sweden,Örebro län,59.2074,14.431,Estimated location.,other igneous deposit,granitic rocks/pegmatites,,"Fe, Th, REE, U",,,,,Showing,,monazite-(Ce),magnetite,,,,,,granite,,,,,,EURARE (2017); GEUS and D'Appolonia (2017),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
3069,8215,Tajno, , , ,site,site,Poland,Podlaskie,53.6972,22.8427, ,carbonatite, , ,REE, , , , ,Occurrence, ,,,,,,,,,,,,,,EURARE (2017); ProMine (2013); Sadeghi and others (2014),,,,No production(?),,,,,,,,,,,,,,,,,,,,,Europe
3070,8412,Tåresåive,,,,site,,Sweden,Norrbottens län,66.8367,19.7724,,other igneous deposit,granitic rocks/pegmatites,,"Mo, Th, REE, U",,,,,Showing,,"monazite-(Ce), allanite-(Ce), xenotime-(Y)",molybdenite,,,,,,"granite, rhyolite",,,,,,EURARE (2017); GEUS and D'Appolonia (2017),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
3071,8423,Třebíč,Trebic-Vladislav,"includes Klučov I, Klučov II, Kracovice, Okrašovic",,intrusion or complex,,Czech Republic,Vysocina,49.2165,15.8991,,alkaline igneous,NYF and NYF+LCT mixed pegmatites,pegmatites,"REE, Sc",,,,,Occurrence,,,"ilmenite, titanite, rutile, beryl, zircon","potassic feldspar, quartz, plagioclase, biotite, microcline (amazonite), tourmaline",,,,,melasyenite to melagranite,,,,,,Čech and others (1999); Čopjaková and others (2013); EURARE (2017); GEUS and D'Appolonia (2017),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
3072,8456,Trostad,,,,site(?),mineralization,Sweden,Kalmar län,57.9441,16.4468,In Vastervik region.,sedimentary; paleoplacer,,,"REE, U",,,,,Showing,,monazite,hematite,,Paleoproterozoic,,Paleoproterozoic,,"quartzite, paragneiss",,,,,"Deposit described as paleoplacer of original heavy mineral sands, but no commodities/minerals discussed other than REE.",EURARE (2014g); EURARE (2017); GEUS and D'Appolonia (2017),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
3074,8413,Tybble 1,,,,site,,Sweden,Östergötlands län,58.795,15.278,,iron oxide-apatite,Iron oxide-apatite deposit,,"Fe, P, REE",,,,,Showing,,"fluorapatite, allanite-(Ce), monazite-(Ce)",apatite,,Paleoproterozoic,,,,felsic volcanic rock,,,,,,EURARE (2017); Finland Geological Survey (2014); GEUS and D'Appolonia (2017),,,,No production,Past producer of iron.,,,,,,,,,,,,,,,,,,,,Europe
3075,1531,Tyger River,,,,district or area,,United States,South Carolina,34.8667,-81.9999,,alluvial placer,,,"Ti, Zr, REE, Th",,,,,Occurrence,,"monazite, zircon, ilmenite, rutile",,,,,,,,,,,,,Hansen and Cuppels (1955); Long and others (2010); Overstreet and others (1968); Williams (1967),,,,No production(?),,,,,,,,,,,,,,,,,,,,,North America
3076,8436,Tysfjord,,,,intrusion or complex,,Norway,Nordland,67.998,16.788,Approximate location.,other igneous deposit,granitic,,"Zr, REE",,,,,Deposit,,"allanite, polycrase-(Y), zircon, titanite","zircon, apatite, titanite, magnetite, fluorite, thalénite, thorianite",,Paleoproterozoic,1700-1800,Paleoproterozoic,,gneissic granite,,,,,,EURARE (2014e); Goodenough and others (2016); Mindat.org (2013d); Mueller and others (2017); Sadeghi and others (2014),,,,No production,,,,,>100 estimate,>0.13,0.13,,,,,,,,,,,EURARE (2014e),Not compliant,,Europe
3077,4745,Una,,,,site,,Brazil,Bahia,-15.2972,-39.078,Estimated location in the vicinity of Una village.,unclassified,,,"Ti, Zr, REE",,,,,Deposit,small deposit,,"ilmenite, rutile, zircon",,,,,,,,,,,,Brasil Departamento Nacional de Produção Mineral (2001),,,,No production(?),,,,,,0.005949 measured,,,,,,,,0.010083 measured,,,1999,Brasil Departamento Nacional de Produção Mineral (2001),Not compliant,Monazite contains 59.0% TREO.,South America
3078,8378,Úrkút,,,,site,,Hungary,Veszprém,47.0781,17.6428,,sedimentary,sedimentary manganese,,REE,,,,,Occurrence,,bastnäsite,,,,,,,,,,,,,EURARE (2017); GEUS and D'Appolonia (2017),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
3079,8437,Vale de Cavalos,,,,site,,Portugal,Portalegre,39.2328,-7.3297,,sedimentary,"sediment-hosted, metasedimentary, paleoplacer(?)",,"Zr, REE, Ti",,,,,Deposit,,"monazite, zircon","zircon, rutile, ilmenite, titanite, magnetite, graphite",,Ordovician,,Ordovician,,quartzite,,,,,"Locally, the REE content is as high as 0.65%.",EURARE (2014f); EURARE (2017); Sadeghi and others (2014),,,,No production,,,,,2.4 estimated,0.0104 estimated,0.46 estimated,,,,,,,,,,1998,EURARE (2014f),Not compliant,,Europe
3080,1534,Vero Beach,,,,district or area,heavy mineral placer,United States,Florida,27.6336,-80.3831,,shoreline placer,,,"Ti, Zr, KYN, REE",,,,,Deposit,,"monazite, xenotime","ilmenite, rutile, zircon, kyanite, leucoxene","staurolite, kyanite, tourmaline, epidote, garnet",,,,,,,,,Riz Mineral Co. (1945),0.2% monazite reported by Merie (1975).,Calver (1957); Garnar (1972); Mertie (1975); Overstreet (1967); U.S. Geological Survey (2013),,,,Past byproduct producer,Past small production of monazite as part of Ti-Zr heavy mineral placer operation.,,,,,,,,,,,,,,,,,,,,North America
3081,8363,Vrontero,Vrondero,,,district or area,,Greece,Dytiki Makedonia,40.7284,21.0208,,bauxite,,,"Al, Ni, Fe, REE",,,,,Occurrence,,"bastnäsite, monazite",,,,,,,,,,,,,EURARE (2017); GEUS and D'Appolonia (2017),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
3082,6605,Wallaby,,,,site(?),,Australia,Western Australia,-28.8518,122.3055,,carbonatite,,veins,"Au, REE",,,,,Showing,,,"apatite, hematite","calcite, aegirine-augite",,"2,664±3 Ma (U-Pb, titanite)",Archean,,carbonatite,,syenite,,,,Geoscience Australia (2013); Hoatson and others (2011); Jaireth and others (2014); Woolley and Kjarsgaard (2008),,,,No production,Au producer(?).,,,,,,,,,,,,,,,,,,,,Oceania
3083,6606,Walloway,,,,intrusion or complex,,Australia,South Australia,-32.6,138.5833,,carbonatite,,dikes and plugs,REE,,,,,Showing,,,,"calcite, phlogopite",,,Jurassic,,"carbonatite, carbonate-rich lamprophyre",,,,,,Hoatson and others (2011); Jaireth and others (2014); Woolley and Kjarsgaard (2008),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
3084,8425,Werner Bjerge,,,,intrusion or complex,,Greenland,Northeast Greenland National Park,72,-24.1666,,alkaline igneous,peralkaline igneous-associated,,"Nb, Ta, Be, Zr, REE",Y,,,,Showing,,monazite,"perovskite, zircon, rutile",,Paleogene,,Paleogene,,,,,,,,EURARE (2017); Thomassen and Nielsen (2006),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
3085,6518,Yoongarillup, , ,Busselton-Doral,site, ,Australia,Western Australia,-33.7623,115.4242,In Perth Basin.,shoreline placer, , ,"Ti, Zr, REE", , , , ,Occurrence, ,monazite,"ilmenite, zircon, rutile ",,,,Plio-Pleistocene,,beach sand,Yoganup Formation,,,,Heavy mineral sands of Yoganup shoreline.,Doral Mineral Sands Pty Ltd (2014); Western Australia Department of Mineral and Petroleum Resources (2012),,,proposed open pit,No production,"Proposed production of zircon, ilmenite and rutile.",,,,,,,,,,,,,,,,,,,,Oceania
